epoch,l1_loss,g_loss,cgan_loss,d_loss

0 , 0.23754233121871948, 24.837400436401367,1.0831685066223145,1.1264592409133911 
1 , 0.23105554282665253, 24.7106990814209,1.6051439046859741,0.4940890669822693 
2 , 0.05494455620646477, 7.007933616638184,1.5134778022766113,0.7136290073394775 
3 , 0.0913868173956871, 10.424294471740723,1.2856134176254272,1.0746614933013916 
4 , 0.3956631124019623, 42.733821868896484,3.1675097942352295,0.8584312796592712 
5 , 0.26615309715270996, 29.67914581298828,3.0638351440429688,0.28427252173423767 
6 , 0.11784975975751877, 13.783787727355957,1.9988116025924683,0.4263569116592407 
7 , 0.17595671117305756, 20.692176818847656,3.096505641937256,0.5454896092414856 
8 , 0.06983150541782379, 7.781423568725586,0.7982729077339172,0.6953771114349365 
9 , 0.15350227057933807, 18.475435256958008,3.1252076625823975,0.44728022813796997 
10 , 0.23858019709587097, 27.587467193603516,3.7294485569000244,0.1700698882341385 
11 , 0.18808671832084656, 19.515554428100586,0.7068816423416138,1.9430418014526367 
12 , 0.1039440855383873, 13.309409141540527,2.915001153945923,0.37986060976982117 
13 , 0.09890137612819672, 19.773052215576172,9.882914543151855,0.8763182163238525 
14, 0.1328665018081665, 17.26616668701172,3.979517936706543,0.3552323579788208 
15 , 0.0567459762096405, 12.526824951171875,6.852227687835693,1.0832332372665405 
16, 0.07243988662958145, 9.849332809448242,2.605344295501709,0.8741103410720825 
